source_code,target_code,target_display,dosage,dosage_unit
"WARFARINA SODICA 5 MG","B01AA03","Warfarin","5","mg"
"CLONAZEPAM 500 MCG (0.5 MG)","N03AE01","Clonazepam","0.5","mg"
"FUROSEMIDA 10 MG / ML X 2 ML","C03CA01","Furosemide","20","mg"
"ATORVASTATINA (COMO SAL CALCICA) 40 MG","C10AA05","Atorvastatin","40","mg"
"CLORFENAMINA MALEATO 10 MG / ML X 1 ML","R06AB04","Chlorphenamine","10","mg"
"DIMENHIDRINATO 10 MG / ML X 5 ML","R06AA11","Dimenhydrinate","50","mg"
"AMIODARONA CLORHIDRATO 50 MG / ML X 3 ML","C01BD01","Amiodarone","150","mg"
"METOCLOPRAMIDA CLORHIDRATO 5 MG / ML X 2 ML","A03FA01","Metoclopramide","10","mg"
"HEPARINA SÓDICA 5,000 U.I./ML","B01AB01","Heparin","5000","ui/ml"
"HEPARINA 5000 U.I./ ML. X 10 ML. (F.P)","B01AB01","Heparin","50000","ui/ml"
"NOREPINEFRINA (COMO ÁCIDO TARTRATO) 1 MG/ML X 4 ML","C01CA03","Norepinephrine","4","mg"
"VANCOMICINA (COMO CLORHIDRATO) 500 MG","J01XA01","Vancomycin","500","mg"
"CIPROFLOXACINO (COMO CLORHIDRATO) 500 MG","J01MA02","Ciprofloxacin","500","mg"
"AMIKACINA (COMO SULFATO) 250 MG / ML X 2 ML","J01GB06","Amikacin","500","mg"
"HIDROCORTISONA (COMO SUCCINATO SÓDICO) 100 MG","H02AB09","Hydrocortisone","100","mg"
"CIPROFLOXACINO (COMO LACTATO) 2 MG /ML X 100 ML","J01MA02","Ciprofloxacin","200","mg"
"ACIDO MICOFENÓLICO (MICOFENOLATO MOFETILO) 250 MG","L04AA06","Mycophenolic acid","250","mg"
"ATROPINA SULFATO 1 MG / ML X 1 ML","A03BA01","Atropine","1","mg"
"OMEPRAZOL 20 MG DE LIBERACIÓN RETARDADA","A02BC01","Omeprazole","20","mg"
"TRAMADOL (CLORHIDRATO) 50 MG / ML X 2 ML","N02AX02","Tramadol","100","mg"
"RANITIDINA (COMO CLORHIDRATO)25MG/MLX2ML","A02BA02","Ranitidine","50","mg"
"MIDAZOLAM (COMO CLORHIDRATO) 5 MG / ML X 10 ML","N05CD08","Midazolam","50","mg"
"OMEPRAZOL (COMO SAL SÓDICA) 40 MG","A02BC01","Omeprazole","40","mg"
"FITOMENADIONA 10 MG / ML X 1 ML","B02BA01","Phytomenadione","10","mg"
"MORFINA (CLORHIDRATO) 10 MG / ML X 1 ML","N02AA01","Morphine","10","mg"
"VALPROATO SÓDICO 500 MG (LIBERACIÓN RETARDADA)","N03AG01","Valproic acid","500","mg"
