"source_code","target_code","target_name"
"1806071000006118","I10","Hypertension"
"350601000000116","I10","Hypertension"
"299680012","I10","Hypertension"
"19411000006110","I10","Hypertension"
"316848016","I10","Hypertension"
"3552521000006112","I10","Hypertension"
"76671000006115","I10","Hypertension"
"4775861000006110","I10","Hypertension"
"3768511000006114","I10","Hypertension"
"143003017","I10","Hypertension"
"90135019","I10","Hypertension"
"884121000006111","I10","Hypertension"
"1846961000006115","I10","Hypertension"
"504901000006118","I10","Hypertension"
"3891091000006118","I10","Hypertension"
"264471012","I10","Hypertension"
"5911761000006110","I10","Hypertension"
"299683014","I10","Hypertension"
"264485019","I10","Hypertension"
"300871017","I10","Hypertension"
"76681000006117","I10","Hypertension"
"299682016","I10","Hypertension"
"3117471000006110","I10","Hypertension"
"19421000006119","I10","Hypertension"
"262960017","I10","Hypertension"
"299665018","I10","Hypertension"
"3552531000006110","I10","Hypertension"
"2193031000000112","I10","Hypertension"
"741691000006114","I10","Hypertension"
"535591000000118","I10","Hypertension"
"395753015","I10","Hypertension"
"504821000006119","I10","Hypertension"
"76641000006111","I10","Hypertension"
"2159168015","I10","Hypertension"
"504911000006115","I10","Hypertension"
"8286321000006117","I10","Hypertension"
"3117501000006115","I10","Hypertension"
"299655012","I10","Hypertension"
"3117521000006113","I10","Hypertension"
"991731000006118","I10","Hypertension"
"113392018","I10","Hypertension"
"84112010","I10","Hypertension"
"299673010","I10","Hypertension"
"1806081000006115","I10","Hypertension"
"3852501000006115","I10","Hypertension"
"12496011","I10","Hypertension"
"5324931000006116","I10","Hypertension"
"12488221000006116","I10","Hypertension"
"887811000006117","I10","Hypertension"
"504781000006113","I10","Hypertension"
"3610811000006117","I10","Hypertension"
"530221000000112","I10","Hypertension"
"1131851000000118","I10","Hypertension"
"504811000006110","I10","Hypertension"
"504801000006112","I10","Hypertension"
"504791000006111","I10","Hypertension"
"299684015","I10","Hypertension"
"3610821000006113","I10","Hypertension"
"3135013","I10","Hypertension"
"789941000006117","I10","Hypertension"
"300869017","I10","Hypertension"
"2011000033113","I10","Hypertension"
"57989014","I10","Hypertension"
"3117431000006112","I10","Hypertension"
"93494011","I10","Hypertension"
"213081000006118","I10","Hypertension"
"80224019","I10","Hypertension"
"28411000033112","I10","Hypertension"
"64168014","I10","Hypertension"
"887831000006111","I10","Hypertension"
"1908721000006111","I10","Hypertension"
"47076011","I10","Hypertension"
"4634661000006118","I10","Hypertension"
"1780318013","I10","Hypertension"
"299676019","I10","Hypertension"
"110659019","I10","Hypertension"
"4634871000006112","I10","Hypertension"
"1846991000006111","I10","Hypertension"
"4634851000006119","I10","Hypertension"
"3117451000006117","I10","Hypertension"
"131046010","I10","Hypertension"
"109700019","I10","Hypertension"
"108730018","I10","Hypertension"
"3117481000006113","I10","Hypertension"
"530161000000111","I10","Hypertension"
"146259010","I10","Hypertension"
"299678018","I10","Hypertension"
"1823901000006112","I10","Hypertension"
"535651000000113","I10","Hypertension"
"1806141000006113","I10","Hypertension"
"3693711000006119","I10","Hypertension"
"8093016","I10","Hypertension"
"12488211000006112","I10","Hypertension"
"3468491000006113","I10","Hypertension"
"411508017","I10","Hypertension"
"2972251000006115","I10","Hypertension"
"4540441000006117","I10","Hypertension"
"351341000000118","I10","Hypertension"
"11998621000006116","I10","Hypertension"
"790121000006116","I10","Hypertension"
"299654011","I10","Hypertension"
"857151000006119","I10","Hypertension"
"3898601000006112","I10","Hypertension"
"299675015","I10","Hypertension"
"19431000006116","I10","Hypertension"
"2972301000006110","I10","Hypertension"
"264487010","I10","Hypertension"
"60444016","I10","Hypertension"
"299686018","I10","Hypertension"
"3117421000006114","I10","Hypertension"
"107545013","I10","Hypertension"
"884131000006114","I10","Hypertension"
"3119661000006114","I10","Hypertension"
"2645973019","I10","Hypertension"
"2478822013","I10","Hypertension"
"299681011","I10","Hypertension"
"3610801000006115","I10","Hypertension"
"64172013","I10","Hypertension"
"451424017","I10","Hypertension"
"264472017","I10","Hypertension"
"251674014","I10","Hypertension"
"84111015","I10","Hypertension"
"53452019","I10","Hypertension"
"4623221000006114","I10","Hypertension"
"299677011","I10","Hypertension"
"1529013","I10","Hypertension"
"1409014","I10","Hypertension"
"8286581000006114","I10","Hypertension"
"1846941000006119","I10","Hypertension"
"3642801000006112","I10","Hypertension"
"4634891000006113","I10","Hypertension"
"4775831000006118","I10","Hypertension"
"741681000006111","I10","Hypertension"
"299650019","I10","Hypertension"
"12487991000006112","I10","Hypertension"
"2566071000006116","I10","Hypertension"
"19451000006111","I10","Hypertension"
"728681000006116","I10","Hypertension"
"19441000006114","I10","Hypertension"
"28311000033116","I10","Hypertension"
"I272","I10","Hypertension"
"K766","I10","Hypertension"
